dataset_name,dataset,experiment,sample_size,seed,selected_lambda,Accuracy,Precision,Recall,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,FN,FP,Business Cost,dataset_label,model,risk_model,qsvc_shape,lambda_transform,lambda,C,effective_lambda,inner_validation_f1,test_f1,test_precision,test_recall,test_specificity,test_balanced_accuracy,test_roc_auc,test_pr_auc,business_cost,lambda_selection_note,display_name,subset_strategy,feature_map,reps,entanglement,runtime_seconds,TN,TP,baseline_cost,cost_reduction_pct
taiwan,taiwan,convex,10000,40,0.3,0.8125,0.5653021442495126,0.6561085972850679,0.8568677792041078,0.6073298429319371,0.7564881882445879,0.817655481270221,0.5716811803789843,152.0,223.0,983.0,"Taiwan 10,000 Subset",Convex,logistic_regression,zz_reps1_full_C0.3000,identity,0.3,0.3,0.3,0.621656050955414,0.6073298429319371,0.5653021442495126,0.6561085972850679,0.8568677792041078,0.7564881882445879,0.817655481270221,0.5716811803789843,983.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
taiwan,taiwan,convex,10000,50,0.65,0.7965,0.5322283609576427,0.6538461538461539,0.8369704749679076,0.5868020304568528,0.7454083144070307,0.806488478673784,0.5483709614279886,153.0,254.0,1019.0,"Taiwan 10,000 Subset",Convex,logistic_regression,zz_reps1_full_C0.1000,identity,0.65,0.1,0.65,0.6310432569974554,0.5868020304568528,0.5322283609576427,0.6538461538461539,0.8369704749679076,0.7454083144070307,0.806488478673784,0.5483709614279886,1019.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
taiwan,taiwan,feature_specific,10000,10,0.25,0.803,0.5463320463320464,0.6402714932126696,0.8491655969191271,0.5895833333333333,0.7447185450658984,0.8039617446662679,0.5917177603332119,159.0,235.0,1030.0,"Taiwan 10,000 Subset",Feature-specific,logistic_regression,zz_reps2_linear_C5.0000,identity,0.25,5.0,0.25,0.5928753180661578,0.5895833333333333,0.5463320463320464,0.6402714932126696,0.8491655969191271,0.7447185450658984,0.8039617446662679,0.5917177603332119,1030.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
taiwan,taiwan,feature_specific,10000,20,0.05,0.813,0.5677290836653387,0.6447963800904978,0.8607188703465982,0.6038135593220338,0.7527576252185479,0.8080829349612857,0.5661193744582663,157.0,217.0,1002.0,"Taiwan 10,000 Subset",Feature-specific,logistic_regression,zz_reps2_linear_C2.0000,identity,0.05,2.0,0.05,0.6166219839142091,0.6038135593220338,0.5677290836653387,0.6447963800904978,0.8607188703465982,0.7527576252185479,0.8080829349612857,0.5661193744582663,1002.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
taiwan,taiwan,feature_specific,10000,30,0.7,0.8055,0.5459272097053726,0.7126696832579186,0.8318356867779204,0.6182531894013739,0.7722526850179194,0.8279395791100088,0.5753241512645452,127.0,262.0,897.0,"Taiwan 10,000 Subset",Feature-specific,logistic_regression,zz_reps2_linear_C5.0000,identity,0.7,5.0,0.7,0.6479591836734694,0.6182531894013739,0.5459272097053726,0.7126696832579186,0.8318356867779204,0.7722526850179194,0.8279395791100088,0.5753241512645452,897.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
taiwan,taiwan,feature_specific,10000,40,0.95,0.7915,0.5230202578268877,0.6425339366515838,0.8337612323491655,0.5766497461928934,0.7381475845003747,0.7906978432727885,0.5687556899258306,158.0,259.0,1049.0,"Taiwan 10,000 Subset",Feature-specific,logistic_regression,zz_reps2_linear_C0.1000,identity,0.95,0.1,0.95,0.571773220747889,0.5766497461928934,0.5230202578268877,0.6425339366515838,0.8337612323491655,0.7381475845003747,0.7906978432727885,0.5687556899258306,1049.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
taiwan,taiwan,feature_specific,10000,50,0.7,0.7815,0.5043782837127846,0.6515837104072398,0.8183568677792041,0.5686080947680158,0.7349702890932219,0.7823276738363956,0.5420832613050592,154.0,283.0,1053.0,"Taiwan 10,000 Subset",Feature-specific,logistic_regression,zz_reps2_linear_C0.2000,identity,0.7,0.2,0.7,0.5989847715736041,0.5686080947680158,0.5043782837127846,0.6515837104072398,0.8183568677792041,0.7349702890932219,0.7823276738363956,0.5420832613050592,1053.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
australian,australian,baseline,full,10,0.0,0.782608695652174,0.7901234567901234,0.8311688311688312,0.7213114754098361,0.810126582278481,0.7762401532893337,0.8077496274217586,0.7998271568499792,13.0,17.0,82.0,Australian Full,Baseline QSVC,,,,0.0,1.0,,,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,0.732,44.0,64.0,82.0,0.0
australian,australian,convex,full,10,0.15,0.7681159420289855,0.7922077922077922,0.7922077922077922,0.7377049180327869,0.7922077922077922,0.7649563551202896,0.817968916329572,0.8179521349291238,16.0,16.0,96.0,Australian Full,Convex,,,,0.15,1.0,,0.8503937007874016,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,15.375,45.0,61.0,82.0,-17.073170731707318
australian,australian,feature_specific,full,10,0.1,0.7681159420289855,0.7848101265822784,0.8051948051948052,0.7213114754098361,0.7948717948717948,0.7632531403023206,0.8090270385352353,0.8047266129043076,15.0,17.0,92.0,Australian Full,Feature-specific,,,,0.1,0.75,,0.8455284552845529,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,14.903,44.0,62.0,82.0,-12.195121951219512
australian,australian,baseline,full,20,0.0,0.7753623188405797,0.7738095238095238,0.8441558441558441,0.6885245901639344,0.8074534161490683,0.7663402171598892,0.8247817756014477,0.8084221905339537,12.0,19.0,79.0,Australian Full,Baseline QSVC,,,,0.0,0.75,,,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,0.716,42.0,65.0,79.0,0.0
australian,australian,convex,full,20,0.95,0.8188405797101449,0.7708333333333334,0.961038961038961,0.639344262295082,0.8554913294797688,0.8001916116670216,0.864381520119225,0.8259921650701033,3.0,22.0,37.0,Australian Full,Convex,,,,0.95,0.75,,0.8787878787878788,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,15.294,39.0,74.0,79.0,53.16455696202531
australian,australian,feature_specific,full,20,0.65,0.7681159420289855,0.7848101265822784,0.8051948051948052,0.7213114754098361,0.7948717948717948,0.7632531403023206,0.8522461145411966,0.8156684829573111,15.0,17.0,92.0,Australian Full,Feature-specific,,,,0.65,0.5,,0.8548387096774194,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,14.663,44.0,62.0,79.0,-16.455696202531644
australian,australian,baseline,full,30,0.0,0.782608695652174,0.7974683544303798,0.8181818181818182,0.7377049180327869,0.8076923076923077,0.7779433681073026,0.8371300830317224,0.800060610136633,14.0,16.0,86.0,Australian Full,Baseline QSVC,,,,0.0,0.5,,,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,0.741,45.0,63.0,86.0,0.0
australian,australian,convex,full,30,0.25,0.8188405797101449,0.8170731707317073,0.8701298701298701,0.7540983606557377,0.8427672955974843,0.8121141153928039,0.8511816052799659,0.8242258542440907,10.0,15.0,65.0,Australian Full,Convex,,,,0.25,0.5,,0.8057553956834532,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,15.502,46.0,67.0,86.0,24.418604651162788
australian,australian,feature_specific,full,30,0.8,0.7753623188405797,0.8382352941176471,0.7402597402597403,0.819672131147541,0.7862068965517242,0.7799659357036406,0.8454332552693209,0.8242016894557123,20.0,11.0,111.0,Australian Full,Feature-specific,,,,0.8,0.3,,0.8,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,15.275,50.0,57.0,86.0,-29.069767441860467
australian,australian,baseline,full,40,0.0,0.8260869565217391,0.8840579710144928,0.7922077922077922,0.8688524590163934,0.8356164383561644,0.8305301256120928,0.8850329997870982,0.9104861296292964,16.0,8.0,88.0,Australian Full,Baseline QSVC,,,,0.0,0.3,,,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,0.717,53.0,61.0,88.0,0.0
australian,australian,convex,full,40,0.25,0.7898550724637681,0.8,0.8311688311688312,0.7377049180327869,0.8152866242038217,0.784436874600809,0.8748137108792846,0.9037591871556256,13.0,16.0,81.0,Australian Full,Convex,,,,0.25,0.3,,0.8833333333333333,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,15.709,45.0,64.0,88.0,7.954545454545454
australian,australian,feature_specific,full,40,0.6,0.8043478260869565,0.8125,0.8441558441558441,0.7540983606557377,0.8280254777070064,0.7991271024057909,0.884820097934852,0.9168160226939198,12.0,15.0,75.0,Australian Full,Feature-specific,,,,0.6,0.5,,0.8333333333333334,,,,,,,,,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,Australian Full,none,zz,1.0,full,15.062,46.0,65.0,88.0,14.772727272727272
