dataset,dataset_label,model,F1_mean,F1_std,Recall_mean,Recall_std,Business Cost_mean,Business Cost_std
give_me_some_credit,Give Me Some Credit Informative 10000,Classical SVC on PCA features,0.3169213519493816,0.0126955074721026,0.7119402985074628,0.0417510469573115,566.0,22.561028345356956
give_me_some_credit,"Give Me Some Credit 10,000 Subset",Convex,0.3126783308186001,0.015956852809802705,0.6582089552238806,0.03927670855803215,571.4,27.790286072654958
give_me_some_credit,"Give Me Some Credit 10,000 Subset",Feature-specific,0.30576094344502447,0.012692693342833466,0.6656716417910447,0.04396022828365115,584.6,23.179732526498228
give_me_some_credit,Give Me Some Credit Informative 10000,Logistic Regression,0.2669391985613884,0.0176928001593908,0.5492537313432836,0.0282204035838642,646.4,31.78521668952408
give_me_some_credit,Give Me Some Credit Informative 10000,RBF-SVM,0.3169213519493816,0.0126955074721026,0.7119402985074628,0.0417510469573115,566.0,22.561028345356956
give_me_some_credit,Give Me Some Credit Informative 10000,Random Forest,0.2544556984793378,0.054687649024752,0.1671641791044776,0.047080030733097,576.0,27.919527216627433
give_me_some_credit,Give Me Some Credit Informative 10000,XGBoost,0.3406975042818223,0.0162358659110816,0.6417910447761195,0.0369384139425808,525.2,23.424346308915432
south_german,South German Full,Baseline QSVC,0.5188064808213618,0.06848403342084518,0.5800000000000001,0.10096754153907304,165.0,30.306764921383476
south_german,South German Full,Classical SVC on PCA features,0.5918806641939962,0.0473455097845558,0.71,0.053489355119604,128.4,19.882152800941853
south_german,South German Full,Convex,0.5453889530744077,0.05011606995980573,0.6799999999999999,0.12549900398011132,144.4,28.588459209967926
south_german,South German Full,Feature-specific,0.5380298408837482,0.06621319474923511,0.6366666666666667,0.10501322668015575,152.6,30.770115371899404
south_german,South German Full,Logistic Regression,0.5961403152810419,0.0315229211910693,0.7066666666666667,0.0252762514801718,128.0,11.067971810589327
south_german,South German Full,RBF-SVM,0.5918806641939962,0.0473455097845558,0.71,0.053489355119604,128.4,19.882152800941853
south_german,South German Full,Random Forest,0.4515884253708994,0.0621277007502235,0.36,0.0450308536203543,206.4,17.472836060582726
south_german,South German Full,XGBoost,0.5366481174409563,0.0491479375666204,0.5866666666666667,0.0593950989373515,160.0,19.8997487421324
taiwan,"Taiwan 10,000 Subset",Baseline QSVC,0.6062038183934761,0.015961970077229454,0.6656108597285068,0.029817940230527792,973.2,59.49117581625026
taiwan,Taiwan Informative 10000,Classical SVC on PCA features,0.5933682372958282,0.0142625473743581,0.6538461538461539,0.0261407692495279,1008.0,50.90677754484171
taiwan,"Taiwan 10,000 Subset",Convex,0.6090813941745437,0.021128103058457862,0.6615384615384615,0.025173178363259982,973.8,61.55241668691815
taiwan,"Taiwan 10,000 Subset",Feature-specific,0.5913815846035301,0.020096826551032655,0.6583710407239819,0.030647550190371197,1006.2,64.28607936404272
taiwan,Taiwan Informative 10000,Logistic Regression,0.5662193787380259,0.0117373650265068,0.6728506787330317,0.0222595002285047,1034.0,43.53734029542916
taiwan,Taiwan Informative 10000,RBF-SVM,0.5933682372958282,0.0142625473743581,0.6538461538461539,0.0261407692495279,1008.0,50.90677754484171
taiwan,Taiwan Informative 10000,Random Forest,0.5483057750232839,0.0297069581538971,0.4669683257918552,0.0417357964096916,1281.4,84.5062127893565
taiwan,Taiwan Informative 10000,XGBoost,0.6133038845996805,0.0121659460439009,0.6733031674208145,0.0206490573920446,952.8,42.487645263064415
