dataset,dataset_label,seed,experiment,model,candidate_set,selection_criterion,selected_lambda,selected_C,feature_map,reps,entanglement,validation_F1,validation_Balanced Accuracy,validation_Business Cost,validation_FN,validation_FP,runtime_seconds,validation_source_path,Accuracy,Precision,Recall,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,TN,FP,FN,TP,Business Cost
german_numeric,German Numeric Full,20,feature_specific,Feature-specific,nonzero,validation_balanced_accuracy,1.0,0.2,zz,1,full,0.5542168674698795,0.6577380952380952,82.0,2.0,72.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed20.csv,0.54,0.3769230769230769,0.8166666666666667,0.42142857142857143,0.5157894736842106,0.6190476190476191,0.7279761904761903,0.5207449863170066,59,81,11,49,136.0
german_numeric,German Numeric Full,30,convex,Convex,all,validation_f1,0.5,1.0,zz,1,full,0.6046511627906976,0.7172619047619048,122.0,22.0,12.0,1.162,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed30.csv,0.69,0.4807692307692308,0.4166666666666667,0.8071428571428572,0.44642857142857145,0.611904761904762,0.7116666666666667,0.4644026863395432,113,27,35,25,202.0
german_numeric,German Numeric Full,30,convex,Convex,all,validation_business_cost,0.5,1.0,zz,1,full,0.6046511627906976,0.7172619047619048,122.0,22.0,12.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed30.csv,0.69,0.4807692307692308,0.4166666666666667,0.8071428571428572,0.44642857142857145,0.611904761904762,0.7116666666666667,0.4644026863395432,113,27,35,25,202.0
german_numeric,German Numeric Full,30,convex,Convex,all,validation_balanced_accuracy,0.5,1.0,zz,1,full,0.6046511627906976,0.7172619047619048,122.0,22.0,12.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed30.csv,0.69,0.4807692307692308,0.4166666666666667,0.8071428571428572,0.44642857142857145,0.611904761904762,0.7116666666666667,0.4644026863395432,113,27,35,25,202.0
german_numeric,German Numeric Full,30,convex,Convex,nonzero,validation_f1,0.5,1.0,zz,1,full,0.6046511627906976,0.7172619047619048,122.0,22.0,12.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed30.csv,0.69,0.4807692307692308,0.4166666666666667,0.8071428571428572,0.44642857142857145,0.611904761904762,0.7116666666666667,0.4644026863395432,113,27,35,25,202.0
german_numeric,German Numeric Full,30,convex,Convex,nonzero,validation_business_cost,0.5,1.0,zz,1,full,0.6046511627906976,0.7172619047619048,122.0,22.0,12.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed30.csv,0.69,0.4807692307692308,0.4166666666666667,0.8071428571428572,0.44642857142857145,0.611904761904762,0.7116666666666667,0.4644026863395432,113,27,35,25,202.0
german_numeric,German Numeric Full,30,convex,Convex,nonzero,validation_balanced_accuracy,0.5,1.0,zz,1,full,0.6046511627906976,0.7172619047619048,122.0,22.0,12.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed30.csv,0.69,0.4807692307692308,0.4166666666666667,0.8071428571428572,0.44642857142857145,0.611904761904762,0.7116666666666667,0.4644026863395432,113,27,35,25,202.0
german_numeric,German Numeric Full,30,feature_specific,Feature-specific,all,validation_f1,0.0,0.5,zz,1,full,0.5619834710743802,0.6800595238095238,109.0,14.0,39.0,1.052,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed30.csv,0.665,0.4533333333333333,0.5666666666666667,0.7071428571428572,0.5037037037037037,0.6369047619047619,0.6944047619047619,0.41600397389040766,99,41,26,34,171.0
german_numeric,German Numeric Full,30,feature_specific,Feature-specific,all,validation_business_cost,0.0,0.5,zz,1,full,0.5619834710743802,0.6800595238095238,109.0,14.0,39.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed30.csv,0.665,0.4533333333333333,0.5666666666666667,0.7071428571428572,0.5037037037037037,0.6369047619047619,0.6944047619047619,0.41600397389040766,99,41,26,34,171.0
german_numeric,German Numeric Full,30,feature_specific,Feature-specific,all,validation_balanced_accuracy,0.0,0.5,zz,1,full,0.5619834710743802,0.6800595238095238,109.0,14.0,39.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed30.csv,0.665,0.4533333333333333,0.5666666666666667,0.7071428571428572,0.5037037037037037,0.6369047619047619,0.6944047619047619,0.41600397389040766,99,41,26,34,171.0
