dataset,dataset_label,experiment,model,candidate_set,selection_criterion,n_seeds,seeds,selected_lambda_values,selected_C_values,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Balanced Accuracy_mean,Balanced Accuracy_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,FN_mean,FN_std,FP_mean,FP_std,Business Cost_mean,Business Cost_std
give_me_some_credit,Give Me Some Credit Informative 10000,convex,Convex,all,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.95, 0.95, 0.00, 0.30, 0.40","1, 1, 1, 1, 1",0.8042,0.013727709204379292,0.31178094310665894,0.01567286705102682,0.2042163375871448,0.012030203308409588,0.6611940298507463,0.04175104695731155,0.8144694533762058,0.016163576311109745,0.7378317416134761,0.01771823133671891,0.7973112732159141,0.016217764243695688,0.23409877087898226,0.008563625346734672,45.4,5.594640292279745,346.2,30.16123339653072,573.2,27.499090894064114
give_me_some_credit,Give Me Some Credit Informative 10000,convex,Convex,nonzero,validation_f1,5,"10, 20, 30, 40, 50","0.95, 0.95, 0.45, 0.70, 0.40","1, 1, 1, 1, 1",0.806,0.012786711852544416,0.31278695807476836,0.01583487796032122,0.20533697115172056,0.012090693134694708,0.6582089552238806,0.03927670855803215,0.8166130760986066,0.014829198689785206,0.7374110156612436,0.01735700931370772,0.7968273583849242,0.015285081762684189,0.2307520885967616,0.0036410199672834266,45.8,5.263078946776307,342.2,27.67128475513922,571.2,27.589853207293437
give_me_some_credit,Give Me Some Credit Informative 10000,convex,Convex,nonzero,validation_business_cost,5,"10, 20, 30, 40, 50","0.95, 0.85, 0.45, 0.70, 0.40","1, 1, 1, 1, 1",0.8062000000000001,0.012901550294441358,0.3130241948901763,0.016255973543350344,0.20554059021260804,0.01239155683437318,0.6582089552238806,0.03927670855803215,0.8168274383708468,0.0148775370365402,0.7375181967973637,0.017561992180554608,0.7968697509238374,0.015305689065637586,0.2310193685445167,0.003228872307949962,45.8,5.263078946776307,341.8,27.76148411018402,570.8,28.28780656042458
give_me_some_credit,Give Me Some Credit Informative 10000,convex,Convex,nonzero,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.95, 0.95, 0.35, 0.30, 0.40","1, 1, 1, 1, 1",0.8047000000000001,0.013089117617318577,0.31089861943318503,0.016166178724923604,0.20385390931773978,0.012339683757785436,0.6567164179104477,0.038416530376817186,0.815326902465166,0.015036906051070456,0.736021660187807,0.017233896816033607,0.7976856073331093,0.016252666283195945,0.23094328722445762,0.003862043995211052,46.0,5.1478150704935,344.6,28.05886669129742,574.6,28.41302518212378
give_me_some_credit,Give Me Some Credit Informative 10000,feature_specific,Feature-specific,all,validation_f1,5,"10, 20, 30, 40, 50","0.95, 0.90, 0.10, 1.00, 0.45","1, 1, 1, 1, 1",0.7973,0.014259207551613804,0.30576094344502447,0.01269269334283346,0.19872393855918818,0.010140093972576142,0.6656716417910447,0.04396022828365115,0.8067524115755627,0.017413224108012125,0.7362120266833037,0.01678628278570358,0.7980671401833277,0.012500938272872257,0.23773029256606254,0.007007811917604746,44.8,5.890670590009256,360.6,32.49307618555067,584.6,23.179732526498228
give_me_some_credit,Give Me Some Credit Informative 10000,feature_specific,Feature-specific,all,validation_business_cost,5,"10, 20, 30, 40, 50","0.95, 0.90, 0.10, 1.00, 0.45","1, 1, 1, 1, 1",0.7973,0.014259207551613804,0.30576094344502447,0.01269269334283346,0.19872393855918818,0.010140093972576142,0.6656716417910447,0.04396022828365115,0.8067524115755627,0.017413224108012125,0.7362120266833037,0.01678628278570358,0.7980671401833277,0.012500938272872257,0.23773029256606254,0.007007811917604746,44.8,5.890670590009256,360.6,32.49307618555067,584.6,23.179732526498228
give_me_some_credit,Give Me Some Credit Informative 10000,feature_specific,Feature-specific,all,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.95, 0.90, 0.10, 0.00, 0.45","1, 1, 1, 1, 1",0.7973,0.014259207551613804,0.30730317868930074,0.014442379586261059,0.19959252223211096,0.011561838581531987,0.6701492537313433,0.038920611374344154,0.8064308681672026,0.01679104618113583,0.738290060949273,0.015925536880890444,0.7981135320183647,0.012567240102878982,0.23826026655873514,0.00668341881173477,44.2,5.215361924162119,361.2,31.332092173999488,582.2,26.147657638878478
give_me_some_credit,Give Me Some Credit Informative 10000,feature_specific,Feature-specific,nonzero,validation_f1,5,"10, 20, 30, 40, 50","0.95, 0.90, 0.10, 1.00, 0.45","1, 1, 1, 1, 1",0.7973,0.014259207551613804,0.30576094344502447,0.01269269334283346,0.19872393855918818,0.010140093972576142,0.6656716417910447,0.04396022828365115,0.8067524115755627,0.017413224108012125,0.7362120266833037,0.01678628278570358,0.7980671401833277,0.012500938272872257,0.23773029256606254,0.007007811917604746,44.8,5.890670590009256,360.6,32.49307618555067,584.6,23.179732526498228
give_me_some_credit,Give Me Some Credit Informative 10000,feature_specific,Feature-specific,nonzero,validation_business_cost,5,"10, 20, 30, 40, 50","0.95, 0.90, 0.10, 1.00, 0.45","1, 1, 1, 1, 1",0.7973,0.014259207551613804,0.30576094344502447,0.01269269334283346,0.19872393855918818,0.010140093972576142,0.6656716417910447,0.04396022828365115,0.8067524115755627,0.017413224108012125,0.7362120266833037,0.01678628278570358,0.7980671401833277,0.012500938272872257,0.23773029256606254,0.007007811917604746,44.8,5.890670590009256,360.6,32.49307618555067,584.6,23.179732526498228
give_me_some_credit,Give Me Some Credit Informative 10000,feature_specific,Feature-specific,nonzero,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.95, 0.90, 0.10, 0.35, 0.45","1, 1, 1, 1, 1",0.7973999999999999,0.014454238132810718,0.3069137843744577,0.013940955393321488,0.199414045737845,0.011257009828341253,0.6686567164179105,0.04039513015738611,0.8066452304394426,0.017204992934712768,0.7376509734286765,0.016052540310873737,0.7981263297659613,0.012585619264206004,0.23854845010531198,0.006590289845545808,44.4,5.412947441089743,360.8,32.10451681617401,582.8,25.33179819910146
